storenumber,sitestatus,longitude,siteaddress,changeddate,createddate,timezone,latitude,sitetype,isdeleted,companycode,division,system$changedby,sitezipcode,companycodedesc,sitefax,highway,sitedescription,exit,siteemail,sitephonenum,sitecity,district
insert into shop (storeNumber,lng,address,changeddate,createddate,timezone,lat,sitetype,isdeleted,companycode,division)
values (
323,,-85.54893590,253 Tippy Ditch Rd,2021-04-30 15:24:15.574,,,40.55432660,,,,1930,281474976710657,46952,,,I-69,"323 - Marian, IN 46952",264,,765-662-6462,Marian,1931
347,,-92.77950200,2501 W Ashley Rd,2021-04-30 15:25:05.842,,,38.93438430,,,,1970,281474976710657,65233,,,I-70,"347 - Boonville, MO 65233",101,,660-882-7770,Boonville,1977
348,,-88.31870770,2966 US Highway 62,2021-04-30 15:25:39.374,,,37.00365200,,,,1930,281474976710657,42029,,,I-24,"348 - Calvert City, KY 42029",27,,270-395-0546,Calvert City,1938
200,,-101.76092280,6930 I-40 E,2021-04-30 15:16:42.708,,,35.19216450,,,,1950,281474976710657,79120,,,I-40,"200 - Amarillo, TX",74,,806-373-7775,Amarillo,1953
228,,-81.80110610,1800 Highway 559,2021-04-30 15:17:36.997,,,28.15541130,,,,1920,281474976710657,33868,,,Highway 559,"228 - Auburndale, FL 33868",44,,863-984-7030,Auburndale,1927
244,,-88.74241400,2050 Highway 70 E,2021-04-30 15:18:35.8,,,35.67941740,,,,1980,281474976710657,38305,,,70 E,"244 - Jackson, TN 38305",87 @ Hwy70,,731-422-0901,Jackson,1988
262,,-103.70114510,1900 Mountain Rd,2021-04-30 15:19:20.717,,,35.15917360,,,,1950,281474976710657,88401,,,I-40,"262 - Tucumcari, NM 88401",333,,575-461-1900,Tucumcari,1953
306,,-83.53272600,1058 Deep Springs Rd,2021-04-30 15:20:06.371,,,36.01288700,,,,1960,281474976710657,37725,,,I-40,"306 - Dandridge, TN 37725",412,,865-397-5040,Dandridge,1965
309,,-97.99788460,1539 Madison Ave,2021-04-30 15:20:59.823,,,40.81912490,,,,1970,281474976710657,68818,,,I-80,"309 - Aurora, NE 68818",332,,402-694-2802,Aurora,1976
310,,-107.98286170,314 Kelly Rd,2021-04-30 15:21:47.284,,,41.67586780,,,,1970,281474976710657,82336,,,I-80,"310 - Wamsutter, WY 82336",173,,307-324-0087,Wamsutter,1974
313,,-89.54279070,100 Love's Industrial Dr,2021-04-30 15:22:44.591,,,36.75810800,,,,1980,281474976710657,63867,,,I-55,"313 - Matthews, MO 63867",58,,573-471-4944,Matthews,1983
318,,-88.91085050,202 North Ave,2021-04-30 15:23:25.86,,,38.15535200,,,,1980,281474976710657,62846,,,I-57,"318 - Ina, IL 62846",83,,618-437-5275,Ina,1987
351,,-89.00965840,3020 E 8th Rd,2021-04-30 15:26:30.859,,,41.36999010,,,,1980,281474976710657,61373,,,I-80,"351 - Utica, IL 61373",81,,815-667-4572,Utica,1982
352,,-83.61276720,13023 US 35,2021-04-30 15:27:21.229,,,39.62082090,,,,1930,281474976710657,43128,,,I-71,"352 - Jeffersonville, OH 43128",65,,740-948-2342,Jeffersonville,1932
353,,-96.84465150,3220 39th St S,2021-04-30 15:27:52.955,,,46.83185750,,,,1970,281474976710657,58104,,,I-29,"352 - Fargo, ND 58104",62,,701-281-0761,Fargo,1978
374,,-117.09146560,2974 Lenwood Rd,2021-04-30 15:28:26.51,,,34.85716320,,,,1940,281474976710657,92311,,,I-15,"374 - Barstow, CA 92311",178,,760-253-4080,Barstow,1947
390,,-100.72303000,3211 S Newberry Access,2021-04-30 15:29:58.502,,,41.10286290,,,,1970,281474976710657,69101,,,I-80,"390 - North Platte, NE 69101",179,,308-534-4610,North Platte,1976
407,,-77.14430330,1165 Harrisburg Pike,2021-04-30 15:30:37.948,,,40.23026930,,,,1960,281474976710657,17013,,,I-81,"407 - Carlisle, PA 17013",52,,717-240-0055,Carlisle,1962
417,,-87.35681310,3150 Grant St,2021-04-30 15:31:19.176,,,41.56189620,,,,1980,281474976710657,46408,,,I-94,"417 - Gary, IN 46408",9,,219-981-4646,Gary,1986
458,,-93.11186300,400 N State Highway 125,2021-04-30 15:32:00.611,,,37.27636810,,,,1970,281474976710657,65757,,,I-44,"458 - Strafford, MO 65757",88,,417-736-9043,Strafford,1971
471,,-98.84644100,21548 FM 471 S,2021-04-30 15:32:52.282,,,29.18490450,,,,1910,281474976710657,78059,,,I-35,"471 - Natalia, TX 78059",127,,830-663-5540,Natalia,1915
507,,-80.51766730,"1105 Peeler Rd, Suite 100",2021-04-30 15:33:28.748,,,35.60897500,,,,1960,281474976710657,28146,,,I-85,"507 - Salisbury, NC 28146",71,,704-630-6767,Salisbury,1966
517,,-108.64604300,748 22 Road,2021-04-30 15:34:02.247,,,39.11445610,,,,1970,281474976710657,81505,,,I-70,"517 - Grand Junction, CO 81505",26,,970-241-3337,Grand Junction,1973
604,,-97.39207200,2700 E Highway 33,2021-04-30 15:36:10.325,,,35.88015710,,,,1950,281474976710657,73044,,,I-35,"604 - Guthrie, OK 73044",157,,405-260-1493,Guthrie,1954
688,,-88.15267530,203 N Houghton Hwy,2021-04-30 15:36:43.453,,,39.25312030,,,,1930,281474976710657,62428,,,I-70,"688 - Greenup, IL 62428",119@SR-130,,217-923-3220,Greenup,1938
693,,-83.29982470,1301 N Warpole St,2021-04-30 15:37:18.695,,,40.85550200,,,,1930,281474976710657,43351,,,Hwy 30/23,"693 - Upper Sandusky, OH 43351",Hwy 199,,419-209-0950,Upper Sandusky,1935
719,,-97.31231560,1610 Cotton Gin Rd,2021-04-30 15:37:55.627,,,31.19115550,,,,1910,281474976710657,76579,,,I-35,"719 - Troy, TX 76579",308,,254-938-2579,Troy,1913
737,,-97.90273210,3900 S Radio Rd,2021-04-30 15:38:28.552,,,35.49714850,,,,1950,281474976710657,73036,,,I-40,"737 - El Reno, OK 73036",127/Radio,,405-422-1904,El Reno,1955
738,,-95.62858340,120 S Hillcrest Dr,2021-04-30 15:40:38.876,,,33.13173470,,,,1910,281474976710657,75482,,,I-30,"738 - Sulphur Springs, TX 75482",122,,903-438-1801,Sulphur Springs,1917
759,,-91.56927100,3404 Highway 63 N,2021-04-30 15:41:23.863,,,34.81478220,,,,1980,281474976710657,72064,,,I-40,"759 - Hazen, AR 72064",193,,870-255-1395,Hazen,1984
784,,-97.08461720,979 Road E,2021-04-30 15:42:06.985,,,41.45174810,,,,1970,281474976710657,68661,,,Hwy 30,"784 - Schuyler, NE 68661",CR-9/Rd E,,402-352-7909,Schuyler,1976
257,,-51.00000000,,2022-06-29 19:20:12.657,2021-11-05 18:51:15.706,,21.00000000,,,,0,281474976710657,12345,,,,"257-Milan,NM",,,,Milan,0,5910974510923877
277,,-51.00000000,,2022-06-29 19:20:41.792,2021-11-05 18:51:41.936,,21.00000000,,,,0,281474976710657,12345,,,,"277-Prescott,AR",,,,Prescott,0,5910974510923877
285,,-51.00000000,,2022-06-29 19:20:56.772,2021-11-05 18:51:26.202,,21.00000000,,,,0,281474976710657,12345,,,,"285-Santa Rosa,NM",,,,Santa Rosa,0,5910974510923877
298,,-51.00000000,,2022-06-29 19:21:08.388,2021-11-05 18:47:38.316,,21.00000000,,,,0,281474976710657,12345,,,,"298-Encinal,TX",,,,Encinal,0,5910974510923877
305,,-51.00000000,,2022-06-29 19:21:24.791,2021-11-05 18:47:51.417,,21.00000000,,,,0,281474976710657,12345,,,,"305-Toms Brook,VA",,,,Tom Brook,0,5910974510923877
214,,-51.00000000,,2022-06-29 19:21:42.231,2021-11-05 18:50:10.367,,21.00000000,,,,0,281474976710657,12345,,,,"214-El Paso,TX",,,,El Paso,0,5910974510923877
236,,-51.00000000,,2022-06-29 19:21:55.055,2021-11-05 18:49:57.691,,21.00000000,,,,0,281474976710657,12345,,,,"236-N Little Rock,AR",,,,N Little Rock,0,5910974510923877
341,,-51.00000000,,2022-06-29 19:22:30.147,2021-11-05 18:50:51.8,,21.00000000,,,,0,281474976710657,12345,,,,"341-Rolla ,MO",,,,Rolla,0,5910974510923877
384,,-51.00000000,,2022-06-29 19:23:28.636,2021-11-05 18:50:22.382,,21.00000000,,,,0,281474976710657,12345,,,,"384-Greenville,IL",,,,Greenville,0,5910974510923877
625,,-51.00000000,,2022-06-29 19:24:42.256,2021-11-05 18:51:04.104,,21.00000000,,,,0,281474976710657,12345,,,,"625-Sidney,NE",,,,Sidney,0,5910974510923877
628,,-51.00000000,,2022-06-29 19:24:55.698,2021-11-05 18:49:08.328,,21.00000000,,,,0,281474976710657,73013,,,,"628-Italy,TX",,,,Italy,0,5910974510923877
645,,-51.00000000,,2022-06-29 19:25:08.368,2021-11-05 18:47:08.489,,21.00000000,,,,0,281474976710657,12345,,,,"645-Frenchtown,MI",,,,Frenchtown,0,5910974510923877
727,,-51.00000000,,2022-06-29 19:25:45.861,2021-11-05 18:48:51.352,,21.00000000,,,,0,281474976710657,12345,,,,"727-Big Cabin,OK",,,,Big Cabin,0,5910974510923877
735,,-51.00000000,,2022-06-29 19:25:55.816,2021-11-05 18:48:36.915,,21.00000000,,,,0,281474976710657,12345,,,,"735-Calhoun,GA",,,,Calhoun,0,5910974510923877
762,,-51.00000000,,2022-06-29 19:26:09.385,2021-11-05 18:44:01.863,,21.00000000,,,,0,281474976710657,12345,,,,"762-Laredo,TX",,,,Laredo,0,5910974510923877
779,,-92.84650100,,2022-06-29 19:34:45.434,2021-11-05 18:50:39.636,,34.38930130,,,,1990,281474976710657,72104,,,,"779-Malvern,AR",,,501-337-9545,Malvern,1992,5910974510923877
254,,-51.00000000,,2022-06-29 19:19:57.189,2021-11-05 18:49:24.151,,21.00000000,,,,0,281474976710657,12345,,,,"254-Mooresville,IN",,,,Mooresville,0,5910974510923877
272,,-51.00000000,,2022-06-29 19:20:27.373,2021-11-05 18:51:52.421,,21.00000000,,,,0,281474976710657,12345,,,,"272-Kingman,AZ",,,,Kingman,0,5910974510923877
239,,-51.00000000,,2022-06-29 19:22:10.069,2021-12-03 21:08:13.131,,21.00000000,,,,1960,281474976710657,24360,,,,"239 - Max Meadows, VA",,,,Max Meadows,1962,5910974510923877
361,,-51.00000000,"",2022-06-29 19:22:57.405,2021-11-05 18:53:30.835,,21.00000000,,,,0,281474976710657,12345,,,,"361-Newton ,IA",,,,Newton,0,5910974510923877
370,,-51.00000000,,2022-06-29 19:23:07.965,2021-11-05 18:49:33.904,,51.00000000,,,,0,281474976710657,12345,,,,"370-Hubbard,OH",,,,Hubbard,0,5910974510923877
372,,-51.00000000,,2022-06-29 19:23:18.268,2021-11-05 18:53:42.697,,21.00000000,,,,0,281474976710657,12345,,,,"372-Ontario,OR",,,,Ontario,0,5910974510923877
452,,-51.00000000,,2022-06-29 19:23:42.655,2021-11-05 18:54:07.201,,21.00000000,,,,0,281474976710657,12345,,,,"452-Pauls Valley,OK",,,,Pauls Valley,0,5910974510923877
476,,-51.00000000,,2022-06-29 19:23:58.772,2021-11-08 15:50:35.393,,21.00000000,,,,0,281474976710657,12345,,,,"476 - Davenport,LA",,,,Davenport,0,5910974510923877
616,,-51.00000000,,2022-06-29 19:24:18.815,2021-12-17 14:30:57.745,,21.00000000,,,,1970,281474976710657,12345,,,,616 Harrisonville MO,,,,Harrisonville,1976,5910974510923877
622,,-51.00000000,,2022-06-29 19:24:31.931,2021-11-05 18:53:55.399,,21.00000000,,,,0,281474976710657,12345,,,,"622-Menomonie,WI",,,,Menomonie,0,5910974510923877
682,,-51.00000000,,2022-06-29 19:25:23.67,2022-03-16 16:06:57.113,,26.00000000,,,,1960,281474976710657,21742,,,,682 - Hagerstown MD,,,,Hagerstown,1962,5910974510923877
723,,-51.00000000,,2022-06-29 19:25:35.442,2021-11-05 18:53:08.915,,21.00000000,,,,0,281474976710657,12345,,,,"723-Laramie,WY",,,,Laramie,0,5910974510923877
763,,-51.00000000,,2022-06-29 19:26:20.718,2021-11-08 15:49:39.658,,21.00000000,,,,0,281474976710657,12345,,,,"763- Hamshire,IL",,,,Hamshire,0,5910974510923877
769,,-51.00000000,,2022-06-29 19:26:29.351,2021-11-10 14:19:05.192,,21.00000000,,,,0,281474976710657,12345,,,,"769- Topeka,KS",,,,Topeka,0,5910974510923877
788,,-91.45409340,482 Tree Farm Rd,2022-06-29 19:37:16.31,2021-11-05 18:53:19.232,,38.89805130,,,,1980,281474976710657,63363,,,I-70,"788-New Florence,MO",175/Hwy 19,,573-835-3100, New Florence,1983,5910974510923877
609,,-97.17945600,,2023-01-23 16:23:32.134,2023-01-23 16:22:00.353,,33.26307200,,,,0,5910974510924177,76207,,,,"Denton, TX",,,,Denton,0,5910974510924177
686,,-112.05373800,,2023-01-23 16:46:06.029,2023-01-23 16:45:03.231,,41.50880900,,,,0,5910974510924177,84302,,,,"Brigham City, UT",,,,Brigham City,0,5910974510924177
